time,open,high,low,close,volume
2020-04-27 08:40:00,216.54,216.54,216.45,216.48,3446
2020-04-27 08:39:00,216.49,216.54,216.49,216.52,10668
2020-04-27 08:38:00,216.47,216.51,216.47,216.51,2751
2020-04-27 08:37:00,216.52,216.54,216.51,216.51,1302
2020-04-27 08:36:00,216.65,216.65,216.49,216.53,7915
2020-04-27 08:34:00,216.66,216.66,216.63,216.63,1648
2020-04-27 08:33:00,216.84,216.84,216.75,216.75,1473
2020-04-27 08:32:00,216.87,216.9,216.83,216.83,2088
2020-04-27 08:31:00,216.76,216.94,216.76,216.89,30109
2020-04-27 08:30:00,216.62,216.62,216.62,216.62,1027
2020-04-27 08:29:00,216.6,216.67,216.6,216.67,1160
2020-04-27 08:28:00,216.68,216.72,216.65,216.66,8335
2020-04-27 08:27:00,216.76,216.76,216.68,216.68,3022
2020-04-27 08:26:00,216.75,216.75,216.72,216.72,546
2020-04-27 08:25:00,216.77,216.77,216.77,216.77,1177
2020-04-27 08:24:00,216.79,216.82,216.79,216.82,501
2020-04-27 08:22:00,216.82,216.85,216.77,216.78,4269
2020-04-27 08:21:00,216.84,216.85,216.81,216.85,1036
2020-04-27 08:20:00,216.85,216.87,216.83,216.85,4847
2020-04-27 08:19:00,216.83,216.84,216.83,216.84,10672
2020-04-27 08:18:00,216.77,216.82,216.77,216.81,5285
2020-04-27 08:17:00,216.7,216.77,216.7,216.74,5173
2020-04-27 08:15:00,216.72,216.72,216.72,216.72,100
2020-04-27 08:14:00,216.61,216.63,216.61,216.63,263
2020-04-27 08:13:00,216.69,216.69,216.65,216.65,929
2020-04-27 08:12:00,216.67,216.67,216.67,216.67,332
2020-04-27 08:11:00,216.68,216.71,216.63,216.68,10833
2020-04-27 08:10:00,216.58,216.64,216.58,216.64,880
2020-04-27 08:09:00,216.6,216.6,216.6,216.6,327
2020-04-27 08:08:00,216.55,216.55,216.55,216.55,1108
2020-04-27 08:07:00,216.59,216.59,216.55,216.55,1629
2020-04-27 08:06:00,216.6,216.63,216.54,216.59,1536
2020-04-27 08:05:00,216.56,216.6,216.56,216.57,990
2020-04-27 08:04:00,216.65,216.67,216.6,216.67,3525
2020-04-27 08:03:00,216.67,216.7,216.67,216.7,1861
2020-04-27 08:02:00,216.66,217.0,215.78,216.66,12964
2020-04-27 08:01:00,216.61,216.82,216.17,216.67,20818
2020-04-27 08:00:00,216.65,216.65,216.56,216.56,1543
2020-04-27 07:59:00,216.69,216.69,216.66,216.66,3388
2020-04-27 07:58:00,216.72,216.72,216.72,216.72,1693
2020-04-27 07:56:00,216.76,216.78,216.76,216.78,2784
2020-04-27 07:55:00,216.72,216.72,216.71,216.72,4300
2020-04-27 07:54:00,216.69,216.76,216.69,216.73,14114
2020-04-27 07:53:00,216.69,216.69,216.66,216.66,4658
2020-04-27 07:52:00,216.73,216.73,216.69,216.69,1686
2020-04-27 07:51:00,216.77,216.77,216.74,216.74,2045
2020-04-27 07:50:00,216.78,216.78,216.75,216.75,3360
2020-04-27 07:49:00,216.83,216.83,216.78,216.78,3940
2020-04-27 07:48:00,216.79,216.82,216.79,216.82,5349
2020-04-27 07:47:00,216.75,216.83,216.75,216.82,22690
2020-04-27 07:46:00,216.7,216.76,216.7,216.75,6825
2020-04-27 07:44:00,216.66,216.66,216.66,216.66,256
2020-04-27 07:43:00,216.63,216.63,216.63,216.63,417
2020-04-27 07:42:00,216.65,216.65,216.65,216.65,290
2020-04-27 07:41:00,216.66,216.66,216.66,216.66,340
2020-04-27 07:40:00,216.69,216.69,216.69,216.69,621
2020-04-27 07:39:00,216.65,216.67,216.65,216.67,10600
2020-04-27 07:38:00,216.63,216.64,216.63,216.64,210
2020-04-27 07:37:00,216.6,216.6,216.58,216.59,1000
2020-04-27 07:36:00,216.55,216.61,216.55,216.6,2836
2020-04-27 07:35:00,216.53,216.53,216.53,216.53,332
2020-04-27 07:33:00,216.53,216.55,216.52,216.55,1950
2020-04-27 07:32:00,216.58,216.58,216.5,216.5,1035
2020-04-27 07:31:00,216.58,216.63,216.58,216.6,3303
2020-04-27 07:30:00,216.53,216.55,216.5,216.55,1121
2020-04-27 07:29:00,216.54,216.55,216.53,216.53,1672
2020-04-27 07:28:00,216.5,216.55,216.49,216.55,2414
2020-04-27 07:26:00,216.52,216.57,216.52,216.52,2683
2020-04-27 07:25:00,216.49,216.49,216.49,216.49,600
2020-04-27 07:24:00,216.51,216.53,216.5,216.5,7851
2020-04-27 07:23:00,216.47,216.52,216.47,216.52,18146
2020-04-27 07:22:00,216.43,216.49,216.43,216.47,5495
2020-04-27 07:21:00,216.43,216.43,216.43,216.43,565
2020-04-27 07:20:00,216.34,216.34,216.34,216.34,110
2020-04-27 07:19:00,216.4,216.44,216.33,216.33,4592
2020-04-27 07:18:00,216.29,216.34,216.25,216.34,6861
2020-04-27 07:17:00,216.34,216.34,216.26,216.31,7655
2020-04-27 07:16:00,216.34,216.38,216.34,216.38,900
2020-04-27 07:15:00,216.32,216.35,216.31,216.35,2508
2020-04-27 07:14:00,216.31,216.31,216.29,216.29,1072
2020-04-27 07:13:00,216.29,216.3,216.28,216.3,1200
2020-04-27 07:12:00,216.3,216.38,216.3,216.34,8257
2020-04-27 07:11:00,216.21,216.31,216.21,216.3,16501
2020-04-27 07:10:00,216.2,216.2,216.2,216.2,1102
2020-04-27 07:09:00,216.24,216.24,216.2,216.24,1188
2020-04-27 07:08:00,216.22,216.25,216.19,216.25,3723
2020-04-27 07:07:00,216.12,216.16,216.12,216.13,1752
2020-04-27 07:06:00,216.2,216.23,216.2,216.2,2740
2020-04-27 07:05:00,216.21,216.21,216.21,216.21,420
2020-04-27 07:04:00,216.2,216.2,216.12,216.16,5517
2020-04-27 07:03:00,216.24,216.26,216.15,216.15,2054
2020-04-27 07:02:00,216.16,216.2,216.16,216.16,2596
2020-04-27 07:01:00,216.26,216.26,216.17,216.18,15959
2020-04-27 07:00:00,216.25,216.25,216.25,216.25,562
2020-04-27 06:59:00,216.38,216.38,216.25,216.25,400
2020-04-27 06:58:00,216.35,216.35,216.21,216.3,4118
2020-04-27 06:57:00,216.31,216.37,216.31,216.36,727
2020-04-27 06:55:00,216.36,216.4,216.36,216.4,875
2020-04-27 06:53:00,216.48,216.48,216.48,216.48,300
2020-04-27 06:52:00,216.37,216.52,216.36,216.52,1703
2020-04-27 06:51:00,216.44,216.44,216.35,216.36,2253
2020-04-27 06:50:00,216.44,216.44,216.44,216.44,700
2020-04-27 06:49:00,216.47,216.47,216.43,216.43,641
2020-04-27 06:48:00,216.46,216.46,216.29,216.39,6506
2020-04-27 06:47:00,216.45,216.48,216.45,216.48,600
2020-04-27 06:46:00,216.41,216.48,216.4,216.45,2900
2020-04-27 06:45:00,216.42,216.43,216.4,216.4,9941
2020-04-27 06:44:00,216.4,216.42,216.4,216.4,6800
2020-04-27 06:43:00,216.4,216.41,216.4,216.41,511
2020-04-27 06:41:00,216.67,216.67,216.67,216.67,100
2020-04-27 06:40:00,216.67,216.67,216.67,216.67,180
2020-04-27 06:39:00,216.55,216.58,216.55,216.58,371
2020-04-27 06:37:00,216.42,216.45,216.42,216.45,1026
2020-04-27 06:36:00,216.4,216.4,216.4,216.4,1513
2020-04-27 06:35:00,216.44,216.44,216.44,216.44,100
2020-04-27 06:33:00,216.4,216.4,216.4,216.4,15638
2020-04-27 06:31:00,216.52,216.52,216.52,216.52,500
2020-04-27 06:30:00,216.48,216.48,216.48,216.48,300
